,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
hou,1,2,-1,-2,-3,1,2,3,-1,-2,1,2,-1,1,-1,1,2,-1,-2,1,2,3,-1,-2,-3,1,-1,-2,1,-1,1,2,-1,1,2,3,-1,-2,-3,-4,1,2,3,4,5,-1,1,-1,1,2,-1,-2,1,-1,-2,-3,-4,-5,1,2,-1,1,2,-1,-2,-3,1,2,-1,-2,1,2,-1,-2,1,2,-1,-2,-3,1,2,-1
ind,1,-1,1,-1,1,2,-1,1,2,-1,-2,-3,1,2,-1,1,-1,-2,-3,-4,-5,1,2,3,-1,1,2,-1,1,2,-1,1,-1,1,-1,1,2,3,4,-1,-2,-3,-4,-5,1,2,3,-1,1,-1,1,2,3,-1,-2,1,2,-1,1,2,-1,-2,-3,1,-1,-2,1,-1,1,-1,-2,1,-1,-2,1,2,-1,1,-1,-2,1,-1
lac,-1,1,-1,1,-1,-2,-3,1,2,3,4,-1,-2,1,2,3,-1,1,-1,-2,-3,-4,-5,-6,-7,1,2,3,4,-1,-2,1,2,3,-1,-2,1,2,3,4,-1,-2,-3,-4,-5,-6,-7,1,-1,1,-1,1,2,3,4,5,-1,-2,-3,1,2,-1,-2,1,2,3,-1,1,-1,1,2,-1,-2,-3,-4,-5,1,2,3,4,5,-1
lal,1,-1,1,2,-1,-2,-3,1,2,-1,1,2,3,4,-1,-2,-3,1,-1,1,2,-1,-2,-3,-4,1,-1,-2,1,-1,1,2,3,4,-1,-2,-3,1,-1,-2,-3,-4,-5,-6,-7,1,2,-1,-2,-3,1,2,3,4,5,6,-1,-2,1,-1,1,2,-1,1,-1,-2,1,2,3,4,-1,-2,1,2,-1,1,-1,1,2,3,-1,-2
mem,-1,1,-1,1,2,3,-1,1,-1,-2,-3,-4,1,2,-1,1,2,3,4,5,6,-1,1,2,-1,-2,1,-1,1,2,-1,-2,-3,1,2,3,4,-1,1,2,-1,1,-1,-2,-3,1,-1,1,-1,-2,1,-1,1,2,-1,1,-1,1,-1,-2,-3,1,2,-1,-2,-3,1,-1,1,2,-1,-2,-3,-4,-5,1,-1,1,2,-1,-2,1
mia,1,-1,-2,1,-1,1,2,3,4,-1,1,-1,1,2,-1,-2,1,2,-1,-2,-3,-4,1,2,3,4,5,-1,-2,-3,-4,1,-1,1,2,-1,-2,-3,-4,-5,-6,1,2,3,4,-1,1,-1,-2,-3,-4,-5,-6,1,2,3,4,-1,-2,-3,1,2,3,4,-1,-2,1,-1,1,-1,-2,-3,1,2,3,4,5,-1,1,-1,-2,1
mil,-1,-2,1,2,3,-1,-2,-3,1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,2,-1,1,-1,1,-1,-2,1,-1,-2,-3,1,2,-1,-2,1,-1,-2,1,-1,1,2,3,-1,-2,1,-1,1,2,3,4,5,6,-1,-2,1,2,3,-1,1,2,-1,-2,-3,1,-1,-2,-3,-4,1,2,-1,-2,-3,1,2,3,-1,-2,1
min,1,2,-1,-2,1,2,-1,-2,1,-1,1,-1,1,2,-1,-2,1,-1,-2,1,2,-1,1,-1,-2,-3,1,-1,-2,1,-1,1,2,3,-1,1,2,-1,1,-1,1,-1,-2,-3,-4,1,2,-1,1,-1,-2,1,2,3,4,-1,-2,-3,-4,-5,1,2,3,4,-1,1,-1,-2,1,-1,1,2,-1,1,2,-1,-2,1,2,-1,-2,1
nop,1,-1,1,2,-1,1,-1,-2,-3,1,2,3,-1,1,-1,-2,-3,1,2,3,4,-1,-2,-3,-4,-5,1,-1,1,-1,-2,-3,-4,1,2,-1,1,2,3,-1,1,-1,1,-1,-2,1,2,3,4,-1,-2,-3,1,-1,-2,1,-1,-2,-3,-4,-5,1,2,3,4,5,6,-1,1,2,3,4,-1,1,-1,-2,-3,1,-1,-2,1,2
nyk,1,-1,1,2,-1,1,-1,1,2,-1,1,-1,-2,-3,-4,1,-1,1,2,-1,1,-1,1,2,-1,1,-1,1,2,-1,-2,-3,-4,1,2,-1,1,-1,-2,1,2,3,4,5,6,7,8,-1,1,2,-1,1,-1,-2,-3,-4,1,-1,1,-1,-2,-3,1,-1,1,-1,1,2,-1,1,-1,-2,-3,-4,-5,1,2,-1,-2,1,-1,1
okc,-1,-2,1,2,-1,1,-1,-2,-3,1,2,3,4,5,6,-1,-2,-3,1,-1,-2,1,2,-1,1,-1,1,-1,-2,1,2,3,-1,1,-1,-2,1,-1,-2,1,2,3,-1,-2,-3,1,-1,-2,-3,1,2,-1,1,-1,-2,1,2,3,4,5,6,-1,-2,1,2,3,-1,-2,-3,1,-1,1,2,3,-1,-2,-3,-4,1,-1,-2,1
orl,-1,-2,1,2,3,4,-1,-2,1,2,3,-1,1,-1,1,2,-1,-2,-3,-4,-5,-6,1,-1,-2,1,2,3,4,5,6,-1,1,-1,-2,-3,-4,-5,1,2,3,-1,1,2,-1,-2,-3,1,-1,-2,1,2,3,4,-1,-2,1,-1,-2,-3,-4,1,2,-1,-2,1,2,-1,-2,-3,-4,1,2,3,4,-1,1,2,3,-1,-2,1
phi,1,-1,1,2,3,4,-1,1,2,-1,-2,-3,1,2,-1,-2,1,-1,1,-1,1,2,-1,-2,1,-1,1,-1,-2,-3,-4,-5,-6,1,-1,1,2,3,4,-1,-2,-3,1,2,3,-1,1,-1,-2,1,2,-1,-2,-3,1,2,3,4,5,-1,-2,1,-1,1,2,3,-1,1,2,-1,-2,-3,1,-1,1,-1,1,-1,-2,-3,1,-1
phx,1,2,-1,-2,-3,1,2,-1,1,-1,1,-1,-2,-3,1,-1,1,-1,-2,1,-1,1,2,3,-1,1,2,-1,1,-1,1,2,-1,-2,-3,-4,-5,1,2,3,4,5,-1,-2,-3,-4,1,2,-1,1,2,-1,1,2,3,4,-1,1,2,3,4,-1,-2,1,-1,-2,-3,1,2,-1,-2,-3,1,-1,1,-1,1,-1,-2,-3,1,-1
por,-1,-2,1,2,3,-1,1,2,-1,-2,-3,-4,1,-1,1,-1,-2,1,2,3,4,-1,1,-1,-2,-3,-4,1,2,3,-1,-2,1,2,-1,1,2,3,-1,-2,-3,-4,1,2,-1,1,2,-1,-2,-3,-4,1,-1,1,2,3,-1,1,2,3,4,-1,-2,-3,-4,-5,1,2,3,-1,-2,-3,-4,-5,1,-1,1,2,3,-1,1,2
sac,1,2,-1,1,-1,1,2,3,4,5,-1,-2,-3,1,2,3,4,-1,1,2,-1,1,-1,-2,-3,-4,1,2,-1,-2,1,2,3,4,5,-1,-2,-3,-4,-5,-6,1,2,-1,1,-1,-2,1,2,-1,-2,-3,-4,1,2,-1,1,-1,1,2,-1,-2,-3,-4,-5,-6,-7,1,2,3,4,-1,-2,-3,1,-1,1,2,-1,-2,1,2
sas,1,-1,-2,-3,1,2,-1,-2,1,-1,1,-1,1,2,-1,-2,1,2,-1,1,-1,-2,1,-1,-2,-3,-4,1,2,3,-1,1,2,3,4,-1,1,2,-1,1,2,3,4,-1,-2,-3,1,2,-1,-2,-3,-4,-5,-6,-7,-8,-9,1,2,3,-1,1,2,-1,1,2,3,-1,-2,-3,1,2,-1,1,-1,1,-1,1,-1,1,-1,1
tor,1,-1,-2,1,-1,-2,1,-1,-2,1,2,-1,1,2,3,4,-1,-2,-3,1,2,-1,1,-1,-2,-3,-4,1,-1,1,-1,-2,-3,1,2,3,-1,1,2,-1,1,-1,1,-1,1,-1,-2,-3,-4,-5,1,2,-1,1,2,3,-1,1,2,3,-1,-2,1,2,3,-1,-2,1,2,-1,-2,1,-1,-2,1,2,-1,1,2,-1,1,-1
uta,1,-1,1,-1,-2,-3,-4,1,2,3,-1,1,-1,-2,-3,1,2,-1,1,2,-1,1,2,-1,-2,1,-1,-2,-3,-4,-5,1,-1,1,2,-1,1,2,3,-1,-2,-3,1,2,3,4,-1,1,-1,1,-1,1,2,-1,1,2,3,-1,-2,-3,-4,-5,-6,1,2,3,-1,-2,-3,1,2,3,-1,-2,1,2,-1,1,2,-1,1,-1
was,-1,1,-1,-2,1,-1,-2,-3,1,2,-1,-2,1,2,-1,-2,1,2,3,4,-1,1,-1,-2,-3,-4,1,-1,1,2,3,-1,-2,-3,1,-1,1,2,3,4,5,-1,-2,-3,-4,1,2,3,4,5,-1,-2,1,-1,1,-1,1,-1,-2,1,2,-1,-2,1,-1,1,-1,-2,-3,-4,1,2,3,-1,1,-1,1,2,-1,1,2,-1
